ID,Title,Outlet,Year,Reference
R16,"Denise Leduc-Fayette, Pascal et le mystère du mal. La clef de Job",Revue philosophique de Louvain,1997,"Revue philosophique de Louvain, 1997, 95/1, p. 164-168"
R17,"Denise Leduc-Fayette (éd.), Fénelon. Philosophie et spiritualité",Revue philosophique de Louvain,1997,"Revue philosophique de Louvain, 1997, 95/1, p. 168-170"
R18,"Yves Floucat, Jacques Maritain ou la fidélité à l’éternel",Revue philosophique de Louvain,1997,"Revue philosophique de Louvain, 1997, 95/1, p. 172-174"
R19,"Hervé Pasqua, Introduction à la lecture de Être et temps de Martin Heidegger",Revue philosophique de Louvain,1997,"Revue philosophique de Louvain, 1997, 95/2, p. 320-323"
R20,"Gaston Fessard, Le mystère de la société",Revue philosophique de Louvain,1997,"Revue philosophique de Louvain, 1997, 95/2, p. 329-334"
R21,"Michel Sales, Gaston Fessard (1897-1978). Genèse d’une pensée",Revue philosophique de Louvain,1997,"Revue philosophique de Louvain, 1997, 95/2, p. 334-335"
R22,"Radrizziani (dir.), Fichte et la France I",Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/1, p. 150-154"
R23,"Pierre Fontan, Sagesse du fini. Épure métaphysique",Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/2, p. 331-335"
R24,"Philippe Thiry, L’existence de Dieu",Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/2, p. 335-338"
R25,"Jean Lacoste, Goethe. Science et philosophie",Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/3, p. 528-533"
R26,"Miklos Vetö, De Kant à Schelling I",Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/3, p. 533-535"
R27,"Hans Urs von Balthasar, Epilogue",Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/3, p. 537-544"
R28,"La recherche philosophique en France, Rapport Mignard/Zarka",Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/3, p. 544-548"
R29,"Jean-Louis Chrétien, L’arche de la parole",Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/3, p. 552-558"
R30,"Jacques d’Hondt, Hegel",Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/4, p. 743-744"
R31,"Philippe Capelle, Philosophie et théologie dans la pensée de Martin Heidegger",Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/4, p. 747-750"
R32,"Denise Leduc-Fayette, Malebranche",Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/4, p. 737-741"
R33,"Francisco Suarez, Disputes métaphysiques I-III",Revue philosophique de Louvain,1999,"Revue philosophique de Louvain, 1999, 97/1, p. 138-142"
R34,"Henri de Lubac, Le Drame de l’humanisme athée",Revue philosophique de Louvain,1999,"Revue philosophique de Louvain, 1999, 97/1, p. 170-171"
R35,"Pascale Seys, Hippolyte Taine et l’avènement du naturalisme",Revue philosophique de Louvain,1999,"Revue philosophique de Louvain, 1999, 97/2, p. 352-355"
R36,"Jean Lefranc, La philosophie en France au XIXe siècle",Revue philosophique de Louvain,1999,"Revue philosophique de Louvain, 1999, 97/2, p. 350-352"
R37,"Mario Saint-Pierre, Beauté, bonté et vérité chez Hans Urs von Balthasar",Revue philosophique de Louvain,1999,"Revue philosophique de Louvain, 1999, 97/2, p. 364-368"
R38,"Denise Leduc-Lafayette (dir.), Le regard d’Henri Gouhier",Revue philosophique de Louvain,1999,"Revue philosophique de Louvain, 1999, 97/2, p. 356-359"
R39,"Emmanuel Falque, Le passeur de Gethsémani",Revue philosophique de Louvain,1999,"Revue philosophique de Louvain, 1999, 97/2, p. 382-385"
R40,"Yves Floucat, Pour une restauration du politique",Revue philosophique de Louvain,1999,"Revue philosophique de Louvain, 1999, 97/2, p. 355-356"
R41,"Horst Althaus, Naissance d’une philosophie",Revue philosophique de Louvain,1999,"Revue philosophique de Louvain, 1999, 97/3-4, p. 668-669"
R42,"Gérard Deledalle, La philosophie américaine",Revue philosophique de Louvain,1999,"Revue philosophique de Louvain, 1999, 97/3-4, p. 741-742"
R43,"Remo Bodei, La philosophie au XXe siècle",Revue philosophique de Louvain,1999,"Revue philosophique de Louvain, 1999, 97/3-4, p. 742"
R44,"Bertrand de Margerie, L’homme, être de relations",Revue philosophique de Louvain,2000,"Revue philosophique de Louvain, 2000, 98/1, p. 158-162"
R45,"Sandra Laugier, Recommencer la philosophie",Revue philosophique de Louvain,2000,"Revue philosophique de Louvain, 2000, 98/2, p. 224-225"
R46,"Olivier Boulnois, Être et représentation",Revue philosophique de Louvain,2000,"Revue philosophique de Louvain, 2000, 98/3, p. 612-618"
R47,"Hervé Pasqua, Blaise Pascal penseur de la Grâce",Revue philosophique de Louvain,2000,"Revue philosophique de Louvain, 2000, 98/3, p. 618-621"
R48,"Miklós Vetö, De Kant à Schelling II",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/1, p. 116-122"
R49,"Gwendoline Jarczyk, Hegel. Science de la logique",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/1, p. 169-170"
R50,"Félix Ravaisson, De l’habitude",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/1, p. 170-171"
R51,"Romanus Cessario, Le thomisme et les thomistes",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/1, p. 171-172"
R52,"Jérôme de Gramont, L’entrée en philosophie. Les premiers mots",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/1, p. 172-173"
R53,"Narbonne & Langlois (éd.), La métaphysique. Son histoire, sa critique, ses enjeux",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/1, p. 173"
R54,"John F. Wippel, The metaphysical Thought of Thomas Aquinas",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/2, p. 303-306"
R55,"Manuel Cabada Castro, El Dios que da que pensar",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/2, p. 320-321"
R56,"Christian Arnsperger et Philippe Van Parijs, Ethique économique et sociale",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/2, p. 347-348"
R57,"Coll., Néokantismes et théorie de la connaissance",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/2, p. 346-347"
R58,"Xavier Dijon, La réconciliation corporelle",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/3, p. 502-504"
R59,"Roberto Andorno, La distinction juridique entre les personnes et les choses",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/3, p. 504-507"
R60,"Antoine Guggenheim, Liberté et vérité",Revue philosophique de Louvain,2001,"Revue philosophique de Louvain, 2001, 99/3, p. 542"
